title,actors
囧妈‎ (2020),徐峥/黄梅莹/袁泉/贾冰/郭京飞/沈腾/吴云芳/陈奇
我和我的祖国‎ (2019),陈凯歌/张一白/管虎/薛晓路/徐峥/宁浩/文牧野/黄渤/张译/韩昊霖/杜江/葛优/刘昊然/宋佳/王千源
我不是药神‎ (2018),文牧野/徐峥/王传君/周一围/谭卓/章宇/杨新鸣/王佳佳/王砚辉
疯狂的外星人‎ (2019),宁浩/黄渤/沈腾/汤姆·派福瑞/马修·莫里森/徐峥/于和伟/雷佳音/刘桦
疯狂的石头‎ (2006),宁浩/郭涛/刘桦/连晋/黄渤/徐峥/优恵/罗兰/王迅
人再囧途之泰囧‎ (2012),徐峥/王宝强/黄渤/陶虹/谢楠/范冰冰
一出好戏‎ (2018),黄渤/舒淇/王宝强/张艺兴/于和伟/王迅/李勤勤/李又麟
江湖儿女‎ (2018),贾樟柯/赵涛/廖凡/徐峥/梁嘉艳/刁亦男/张一白/丁嘉丽/张译
心花路放‎ (2014),宁浩/黄渤/徐峥/袁泉/周冬雨/陶慧/岳小军/沈腾/张俪
无人区‎ (2013),宁浩/徐峥/黄渤/余男/多布杰/王双宝/巴多/杨新鸣/郭虹
人在囧途‎ (2010),叶伟民/徐峥/王宝强/李曼/李小璐/左小青/张歆艺/黄小蕾/马健
港囧‎ (2015),徐峥/赵薇/包贝尔/杜鹃/葛民辉/李灿森/潘虹/赵有亮
疯狂的赛车‎ (2009),宁浩/黄渤/戎祥/九孔/徐峥/王双宝/巴多/董立范/高捷
超时空同居‎ (2018),苏伦/雷佳音/佟丽娅/张衣/于和伟/王正佳/陶虹/李念/李光洁
春娇与志明 春嬌與志明‎ (2012),彭浩翔/杨千嬅/余文乐/杨幂/徐峥/陈逸宁/林兆霞/谷德昭/詹瑞文
催眠大师‎ (2014),陈正道/徐峥/莫文蔚/胡静/吕中/王耀庆/杨凯迪
幕后玩家‎ (2018),任鹏远/徐峥/王丽坤/王砚辉/段博文/任达华/于和伟/朱珠/赵达
爱情呼叫转移‎ (2007),张建亚/徐峥/刘仪伟/宁静/白冰/伊能静/车永莉/沈星/宋佳
脱口秀大会 第二季‎ (2019),谭晓虹/于谦/李诞/吴昕/池子/马东/王建国/程璐/庞博
夜·店‎ (2009),杨庆/徐峥/李小璐/乔任梁/杨青/张嘉译/赵英俊
建党伟业‎ (2011),韩三平/黄建新/刘烨/冯远征/张嘉译/陈坤/马少骅/李沁/周润发/赵本山
摩登年代‎ (2013),邵晓黎/徐峥/张子枫/王宣予/张颂文/王太利/肖央/岳小军/杜家毅
一夜惊喜‎ (2013),金依萌/范冰冰/李治廷/吴佩慈/蒋劲夫/丹尼尔·海尼/刘维/倪虹洁/黎明
极限挑战 第一季‎ (2015),任静/严敏/黄渤/孙红雷/黄磊/罗志祥/张艺兴/王迅/陈乔恩/郭涛
爱情呼叫转移Ⅱ：爱情左右‎ (2008),张建亚/林嘉欣/邓超/黄渤/范伟/古巨基/黄磊/苏有朋/佟大为
大唐玄奘‎ (2016),霍建起/黄晓明/徐峥/蒲巴甲/罗晋/汤镇业/锦荣/谭凯/姜超
猎毒人‎ (2018),嵇天毅/于和伟/张丹峰/侯梦莎/傅浤鸣/徐洪浩/吴秀波/徐峥/侯勇
春光灿烂猪八戒‎ (2000),范小天/叶崇铭/梦继/徐峥/陶虹/孙兴/李立群/陈红/翁虹/屈中恒/钮承泽
第28届中国金鸡百花电影节颁奖典礼‎ (2019),黄渤/邓超/姚晨/陈凯歌/成龙/胡歌/王宝强/王源
我就是演员‎ (2018),吴彤/章子怡/徐峥/吴秀波/张国立/伊一/刘天池/陈凯歌/许鞍华
第55届金马奖颁奖典礼‎ 第55屆金馬獎頒獎典禮‎ (2018),陶晶莹/李安/巩俐/谢盈萱/周迅/赵涛/曾美慧孜/孙俪
大男当婚‎ (2012),孙皓/徐峥/宋佳/梅婷/张歆艺/马苏/车晓/隋兰/王茂蕾
搞定岳父大人‎ (2012),李海蜀/徐峥/许绍雄/林鹏/李凤绪/仁龙/郭明翔/朱琳/冯瓅
王牌对王牌 第三季‎ (2018),吴彤/沈涛/王源/沈腾/贾玲/欧阳娜娜/刘芸/凌潇肃/周一围
穿越时空的爱恋‎ (2003),孙太泉/杨军/张庭/徐峥/万弘杰/刘莉莉/孙宝光/史可/李倩/杨俊毅
命运呼叫转移‎ (2007),刘仪伟/张坚庭/孙周/林锦和/葛优/范冰冰/闫妮/邱心志/姚晨/徐峥/徐帆
李卫当官‎ (2002),郑军/徐峥/陈好/唐国强/王辉/李小燕/杨昊飞/焦晃/李倩
第三个人‎ (2007),程耳/高圆圆/徐峥/陶虹/鄢钷
犯罪分子‎ (1999),程耳/徐峥/黄奕
好戏一出‎ (2018),黄渤/舒淇/王宝强/张艺兴/于和伟/王迅/李勤勤/李又麟
嘻游记‎ (2010),钟少雄/徐峥/谢娜/黄奕/邱胜翊/应采儿/何炅/孙兴/杜海涛
今晚80后脱口秀‎ (2012),叶烽/王自健/中孝介/宁浩/李东学/黄龄/宋丹丹/王雷/范明
李卫当官2‎ (2004),徐峥/孙菲菲/唐国强/舒畅/王绘春/苗皓钧/杜志国/宗峰岩
火星没事‎ (2009),刘仪伟/黄磊/谢娜/孙天宇/关悦/王晶/徐峥/佟大为
兔侠传奇‎ (2011),孙立军/范伟/闫妮/张丰毅/濮存昕/张一山/林永健/黄宏/冯远征
印囧‎ (2028),徐峥
药有神功‎ (2018),徐峥/王传君/周一围/谭卓/章宇/杨新鸣/王佳佳/王砚辉
二十四小时 第一季‎ (2016),曹晓震/俞杭英/陈坤/徐峥/韩庚/吴磊/大鹏/尹正
长恨歌‎ (2006),丁黑/张可颐/谢君豪/陈丽娜/吴兴国/徐峥/黄奕
东方小故事‎ (1994),张韵华/冯广泉/史久峰/袁岳/徐峥/余彬/黄达亮/曹秋根/姚安濂
瓣嘴 第四季‎ (2018),刘烨/易小星/董子健/徐峥/张一山/佟丽娅/克里斯·帕拉特/小沈阳
李卫当官3‎ (2010),王伟廷/徐峥/赵丽颖/于波/杨俊毅/雷恪生
福禄寿三星报喜‎ (2005),刘志/欧阳震华/李铭顺/张世/徐峥/寇振海/保剑锋/宁静/范文芳
老爸快跑‎ (2010),高一功/徐峥/伊春德/王虎城
满汉全席‎ (2004),李翰韬/徐峥/张铁林/张庭/刘希媛/陈继铭/董志华/张曦文/李琦
上海沧桑‎ (1999),黄蜀芹/巍子/严晓频/王琳/佟瑞欣/吴越/马晓伟/江珊/华明伟
特殊服务‎ (2012),黄渤/王迅/一纳
说出你的秘密‎ (1999),黄建新/王志文/江珊/王琳/阮丹宁/徐峥
食在囧途‎ (2016),徐峥/宋小宝/尹正/伊一/郭麒麟
猪先生‎ (2021),徐峥
钢铁镇：龙族之战‎ (2019),凯文·格劳特/徐峥/关晓彤
第十届中国电影导演协会年度奖‎ (2019),贾樟柯/姜文/张艺谋/文牧野/毕赣/黄渤/徐峥/章宇
2014最美表演‎ (2014),陈正道/刘烨/赵薇/徐峥/佟大为/黄轩/马苏/袁泉/李易峰
记忆切割‎ (2019),果靖霖/郭采洁/徐峥/刘雪华/赵立新
城市微旅行‎ (2013),曹郁/程工/冯唐/路妍/文林/徐峥
笑八仙之素女的故事‎ (2002),陶白莉/邹集城/杨若兮/徐峥/聂远/刘威/傅艺伟/戴春荣/张璐/谢宁
三揭皇榜‎ (2006),范秀明/陈家霏/徐峥/王刚/曾宝仪/祁艳/娄宇健/宋茹惠/魏宗万/王征宇
天使不寂寞‎ (2002),张番番/郭涛/陶虹/李小冉/解晓东/徐峥
第二届海南岛国际电影节闭幕式暨颁奖典礼‎ (2019),苏菲·玛索/黑泽清/伊莎贝尔·于佩尔/阿斯哈·法哈蒂/蒋雯丽/阿贝尔·费拉拉/关锦鹏StanleyKwan/雷蒙德·雷德
结婚进行曲‎ (2007),溥一隽/徐峥/张延
好男当家‎ (2007),陈家林/徐峥/朱媛媛/李又麟/林熙越/夏力薪/林家川
一部佳作的诞生‎ (2011),武越/徐峥
天桥十三郎‎ (2003),鞠觉亮/徐峥/徐锦江/邢岷山/商蓉/罗海琼/沈晓海/王灵/姜黎黎
七品钦差‎ (2001),谭智桐/牛振华/吕丽萍/徐峥/付连智/周莉/贾兆冀/秦焰/吴樾
爸爸叫红旗‎ (2002),朱传光/于荣光/倪虹洁/刘蓓/徐峥/高宝宝/王奎荣
心灵捕手‎ (2018),田华/刘嘉玲/徐峥/赵又廷/马思纯/明道/杨子姗
成为那个人‎ (2020),徐峥/雷佳音/陶虹/袁泉/黄渤
2019爱奇艺尖叫之夜‎ (2018),赵丽颖/易烊千玺/徐峥/周冬雨/刘昊然/陈凯歌/吴亦凡/朱丹
首届海南岛国际电影节闭幕式暨颁奖典礼‎ (2018),成龙/朱丽叶·比诺什/阿米尔·汗/徐峥/姚晨/麦斯·米科尔森/约翰尼·德普/伊莎贝尔·于佩尔
第26届北京大学生电影节颁奖典礼‎ (2019),文牧野/徐峥/姚晨/章宇/佟丽娅/霍建起/苏伦/黄尧
第四届中国电影导演协会年度奖 第4届中国电影导演协会年度奖‎ (2013),贾樟柯/刘震云/张扬/陈凯歌/唐大年/吴楠/颜丙燕/冯小刚
一宅到底‎ (2019),王建国/张海宇/周野芒/徐峥
红尘往事‎ (1999),江海洋/傅东育/刘小锋/范冰冰/徐峥/廖学秋/薛佳凝/许承先
龙武士 Wushu Warrior‎ (2011),艾朗·德罗榭/马特·弗里沃/托德·芬内尔/安柏·戈德法布/GangZhao/浦蒲/YuanFang/LukeZhiGangLiu/PengZhenZhong
新铡美案‎ (2004),吴兵/郝蕾/丁志诚/何琳/徐峥/鲍国安/傅彪
第五届中国电影导演协会年度奖 第5届中国电影导演协会年度奖‎ (2014),薛晓路/徐峥/汤唯/陈可辛/李睿珺/崔健/滕文骥/郑洞天
2016冬季星空演讲‎‎ (2016),汪峰/徐峥/刘震云/白百何/马东/苏芒/贾乃亮/梁文道
第32届大众电影百花奖颁奖典礼‎ (2014),赵薇/章子怡/王家卫/陈可辛/李雪健/张晋/徐峥/杨子姗
北京往事‎ (2020),韩东君
忙碌的一天‎ (2011),何念/徐峥
风生水起‎ (1997),成浩/徐峥/李冰冰
出奇制胜‎ (2003),吴兵/徐峥/何琳/王劲松/常蓝天/吕中
重返上海滩‎ (2003),陈晓雷/丁志城/傅彪/赵子琪
家和万事兴之快乐情缘‎ (2005),张菁/徐铮/牛莉/魏积安
无敌波‎ (2013),张晓颖/李红陶
